"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point100",2014-02-01,0,2394.37,6104.15899999999,0,0,NA,0,0,NA,444.401382589008,434.111659609888,NA,0,0
"point101",2014-02-01,0,2385.88400000002,6073.60599999968,0,0,NA,0,0,NA,444.401382589008,434.111659609888,NA,0,0
"point334",2014-02-01,0,2698.39399999997,6137.17899999954,5537.75752420311,4791.55751262764,NA,0,0,NA,0,0,NA,544.240928508264,523.590009219209
"point409",2014-02-01,0,2801.91200000001,6378.14599999972,550.673653049224,521.168659638994,NA,73.6901011004882,67.2543833877878,NA,0,0,NA,80.684673942973,44.5974950590276
"point429",2014-02-01,0,2767.71299999999,6205.23099999968,544.240928508264,523.590009219209,NA,0,0,NA,0,0,NA,0,0
"point014",2014-02-01,0,1676.73100000003,7970.48099999968,0,0,NA,0,0,NA,336.669508921492,317.485910713466,NA,226.50258435603,193.907409497752
"point011",2014-02-01,0,1890.01699999999,5313.62799999956,335.767883822153,319.734044985214,NA,0,0,NA,0,0,NA,0,0
"point003",2014-02-01,0,1120.48999999999,7199.43300000019,0,0,NA,41.9892870175665,26.0530751422325,NA,226.50258435603,193.907409497752,NA,336.669508921492,317.485910713466
"point410",2014-02-01,0,2395.39000000001,6602.63900000043,351.707328153756,308.366708917841,NA,168.989822627382,111.017092669212,NA,0,0,NA,0,32.6652327916673
"point415",2014-02-01,0,2559.72100000002,5912.10500000045,0,0,NA,0,0,NA,1314.81035741977,1048.20922391322,NA,1153.45579945623,983.389397452814
"point002",2014-02-01,0,1602.848,5856.24399999995,0,0,NA,0,0,NA,283.175958149283,243.957381612495,NA,288.753129137972,249.609587697771
"point361",2014-02-01,0,3682.44799999997,6096.7620000001,1319.11986418689,755.137247628572,NA,1311.37255362318,751.053232198556,NA,0,0,NA,0,0
"point454",2014-02-01,0,1667.14600000001,6011.36199999973,283.175958149283,243.957381612495,NA,288.753129137972,249.609587697771,NA,0,0,NA,0,0
"point363",2014-02-01,0,1671.70000000001,7366.18200000003,226.50258435603,193.907409497752,NA,336.669508921492,317.485910713466,NA,0,0,NA,0,0
"point403",2014-02-01,0,1840.77100000001,6761.69000000041,0,189.521340097998,NA,0,190.6948928994,NA,81.2272040913237,77.9728419526624,NA,81.3991226009349,96.9863507185529
"point460",2014-02-01,0,2888.91899999999,5684.92599999998,0,0,NA,820.763959301187,794.567203729883,NA,817.159806786328,790.818214993419,NA,0,0
"point463",2014-02-01,0,2045.658,6491.63200000022,697.482196188134,664.646468984229,NA,542.178280488113,548.965027541595,NA,0,0,NA,0,0
"point428",2014-02-01,0,2366.88699999999,6448.50100000016,142.984904645704,87.9284030231402,NA,239.76607027487,144.408029480775,NA,0,0,NA,0,0
"point371",2014-02-01,0,1837.22100000002,6359.81099999975,305.95705858664,287.744687997711,NA,113.503674532086,69.6377874507995,NA,0,0,NA,0,0
"point446",2014-02-01,0,2053.12900000002,6141.54700000025,210.331026133934,209.50415178446,NA,123.157891155008,101.746795431592,NA,0,0,NA,341.751600461467,330.558003861939
"point009",2014-02-01,0,2749.32900000003,6674.71999999974,193.951457256102,400.222252587175,NA,0.111202498128259,0,NA,90.241218514433,61.2589413534404,NA,0,0
